57,5579dc9d0db630d703865318, 4828 N Magnolia Ave, Chicago, IL 60640,41.96989,-87.66114
59,5579dc9d0db630d70386531a, 6910 N Ridge Blvd, Chicago, IL 60645,42.00698,-87.68106
60,5579dc9d0db630d70386531b, 2955 W Lawrence Ave, Chicago, IL 60625,41.96844,-87.70343
61,5579dc9d0db630d70386531c, 1333 W Lake St, Chicago, IL 60607,41.88543,-87.66012
63,5579dc9d0db630d70386531e, 2400 N Western Ave, Chicago, IL 60647,41.92524,-87.68775
64,5579dc9d0db630d70386531f, 1330 W Lake St, Chicago, IL 60607,41.88551,-87.66015
65,5579dc9d0db630d703865320, 7300 N Ridge Blvd, Chicago, IL 60645,42.01421,-87.68383
66,5579dc9d0db630d703865321, 814 W Junior Ter, Chicago, IL 60613,41.96042,-87.65043
58,5579dc9d0db630d703865319, 2000 W Division St, Chicago, IL 60622,41.90326,-87.67747
68,5579dc9d0db630d703865323, 7030 N Ridge Ave, Chicago, IL 60645,42.00986,-87.68229
69,5579dc9d0db630d703865324, 6930 N Ridge Ave, Chicago, IL 60645,42.00744,-87.68128
67,5579dc9d0db630d703865322, 5734 N Broadway, Chicago, IL 60660,41.9861,-87.66024
70,5579dc9d0db630d703865325, 6900 N Ridge Blvd, Chicago, IL 60645,42.00684,-87.68099
71,5579dc9d0db630d703865326, 6901 N Ridge Blvd, Chicago, IL 60645,42.00661,-87.68076
72,5579dc9d0db630d703865327, 2628 W Ardmore Ave, Chicago, IL 60659,41.98681,-87.69561
73,5579dc9d0db630d703865328, 4008 N Sawyer Ave, Chicago, IL 60618,41.95412,-87.70929
74,5579dc9d0db630d703865329, 5053 N Lincoln Ave, Chicago, IL 60625,41.97319,-87.6914
75,5579dc9d0db630d70386532a, 1355 W Lake St, Chicago, IL 60607,41.8854,-87.66092
77,5579dc9d0db630d70386532c, 300 N Hamlin Ave, Chicago, IL 60624,41.88542,-87.72096
78,5579dc9d0db630d70386532d, 10 S La Salle St, Chicago, IL 60603,41.88154,-87.6324
79,5579dc9d0db630d70386532e, 735 N Hudson Ave, Chicago, IL 60654,41.89578,-87.63997
80,5579dc9d0db630d70386532f, 2625 W Ardmore Ave, Chicago, IL 60659,41.98672,-87.69523
81,5579dc9d0db630d703865330, 400 S Western Ave, Chicago, IL 60612,41.87531,-87.68642
82,5579dc9d0db630d703865331, 5857 N Broadway St, Chicago, IL 60660,41.9886,-87.6601
84,5579dc9d0db630d703865333, 150 E Ohio St, Chicago, IL 60611,41.8926,-87.62378
85,5579dc9d0db630d703865334, 1953 W Howard St, Chicago, IL 60202,42.01943,-87.67925
86,5579dc9d0db630d703865335, 7307 N Ridge Blvd, Chicago, IL 60645,42.01423,-87.68371
83,5579dc9d0db630d703865332, 7055 S Jeffery Blvd, Chicago, IL 60649,41.76679,-87.57627
76,5579dc9d0db630d70386532b, 7158 N Ridge Ave, Chicago, IL 60645,42.01172,-87.68295
